instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,spring,2011,1,no,Saturday,no,Mist,14.110847,18.18125,0.805833,0.160446,331,654,985
2,2011-01-02,spring,2011,1,no,Sunday,no,Mist,14.902598000000001,17.686950000000003,0.696087,0.248539,131,670,801
3,2011-01-03,spring,2011,1,no,Monday,yes,Clear,8.050924,9.47025,0.437273,0.248309,120,1229,1349
4,2011-01-04,spring,2011,1,no,Tuesday,yes,Clear,8.200000000000001,10.6061,0.590435,0.160296,108,1454,1562
5,2011-01-05,spring,2011,1,no,Wednesday,yes,Clear,9.305237,11.4635,0.436957,0.1869,82,1518,1600
6,2011-01-06,spring,2011,1,no,Thursday,yes,Clear,8.378268,11.66045,0.518261,0.0895652,88,1518,1606
7,2011-01-07,spring,2011,1,no,Friday,yes,Mist,8.057402,10.44195,0.498696,0.168726,148,1362,1510
8,2011-01-08,spring,2011,1,no,Saturday,no,Mist,6.765000000000001,8.1127,0.535833,0.266804,68,891,959
9,2011-01-09,spring,2011,1,no,Sunday,no,Clear,5.671653,5.80875,0.434167,0.36195,54,768,822
10,2011-01-10,spring,2011,1,no,Monday,yes,Clear,6.184153,7.5443999999999996,0.482917,0.223267,41,1280,1321
11,2011-01-11,spring,2011,1,no,Tuesday,yes,Mist,6.9327309999999995,9.5732,0.686364,0.122132,43,1220,1263
12,2011-01-12,spring,2011,1,no,Wednesday,yes,Clear,7.0818069999999995,8.02365,0.599545,0.304627,25,1137,1162
13,2011-01-13,spring,2011,1,no,Thursday,yes,Clear,6.765000000000001,7.544149999999999,0.470417,0.301,38,1368,1406
14,2011-01-14,spring,2011,1,no,Friday,yes,Clear,6.59567,9.42065,0.537826,0.126548,54,1367,1421
15,2011-01-15,spring,2011,1,no,Saturday,no,Mist,9.566653,12.4056,0.49875,0.157963,222,1026,1248
16,2011-01-16,spring,2011,1,no,Sunday,no,Clear,9.498347,11.71085,0.48375,0.188433,251,953,1204
17,2011-01-17,spring,2011,1,yes,Monday,no,Mist,7.209153,8.838550000000001,0.5375,0.194017,117,883,1000
18,2011-01-18,spring,2011,1,no,Tuesday,yes,Mist,8.883347,11.61665,0.861667,0.146775,9,674,683
19,2011-01-19,spring,2011,1,no,Wednesday,yes,Mist,11.979134,14.921100000000001,0.741739,0.208317,78,1572,1650
20,2011-01-20,spring,2011,1,no,Thursday,yes,Mist,10.728347,12.7525,0.538333,0.195904,83,1844,1927
21,2011-01-21,spring,2011,1,no,Friday,yes,Clear,7.2775,7.89165,0.457083,0.353242,75,1468,1543
22,2011-01-22,spring,2011,1,no,Saturday,no,Clear,2.4243464,3.9534800000000003,0.4,0.17197,93,888,981
23,2011-01-23,spring,2011,1,no,Sunday,no,Clear,3.9573897000000002,4.941955,0.436522,0.2466,150,836,986
24,2011-01-24,spring,2011,1,no,Monday,yes,Clear,3.9930433,5.8965,0.491739,0.15833,86,1330,1416
25,2011-01-25,spring,2011,1,no,Tuesday,yes,Mist,9.162598000000001,11.7263,0.616957,0.129796,186,1799,1985
26,2011-01-26,spring,2011,1,no,Wednesday,yes,Light Snow/Rain,8.9175,10.18,0.8625,0.29385,34,472,506
27,2011-01-27,spring,2011,1,no,Thursday,yes,Clear,7.995,10.985,0.6875,0.113837,15,416,431
28,2011-01-28,spring,2011,1,no,Friday,yes,Mist,8.342597999999999,11.165849999999999,0.793043,0.1233,38,1129,1167
